EVENT CATEGORY,EVENT GROUP,EVENT SUBGROUP,EVENT TYPE,PLACE,Year,Freq,EVENT START DATE,FATALITIES,INJURED / INFECTED,EVACUATED,ESTIMATEDTOTALCOST,NORMALIZED TOTAL COST,EVENT END DATE,FEDERAL DFAA PAYMENTS,PROVINCIAL DFAA PAYMENTS,PROVINCIAL DEPARTMENT PAYMENTS,MUNICIPAL COSTS,OGD COSTS,INSURANCE PAYMENTS,NGO PAYMENTS,UTILITY - PEOPLE AFFECTED,MAGNITUDE
Disaster,Natural,Meteorological - Hydrological,Flood,Fort McMurray AB,2016,1,7/30/2016 0:00,,,,0,0,7/31/2016 0:00,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Chestermere AB,2015,1,7/12/2015 0:00,,,,0,0,7/12/2015 0:00,,,,,,,,20000,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,2014,1,6/15/2014 0:00,,,,,,,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,2013,2,6/19/2013 0:00,4,0,100000,2715742000,132690977.2,6/28/2013 0:00,1015742000,,,,,1700000000,,,
Disaster,Natural,Meteorological - Hydrological,Flood,"Eckville, Lacombe, Paddle River, Fort Vermilion, and Peace River AB",2011,0,7/12/2011 0:00,0,0,156,0,0,7/14/2011 0:00,,,,,,,,700,0
Disaster,Natural,Meteorological - Hydrological,Flood,Calgary AB,2011,1,5/29/2011 0:00,0,0,141,0,0,5/31/2011 0:00,,,,,,,,,
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta and Saskatchewan,2010,2,6/17/2010 0:00,0,0,2065,1031670000,53133218.9,6/17/2010 0:00,75320000,,206350000,,750000000,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,High River AB,2008,3,5/24/2008 0:00,0,0,0,0,0,5/24/2008 0:00,,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,2005,3,6/6/2005 0:00,2,,7028,129049397,7236414.8,6/8/2005 0:00,129049397,,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,2002,3,6/11/2002 0:00,0,0,350,16054182,963250.9,6/11/2002 0:00,8834091,7220091,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Clearwater AB,1999,2,7/4/1999 0:00,0,0,350,8751452,565217.6,7/5/1999 0:00,2977089,5774363,,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,1997,0,6/17/1997 0:00,0,0,0,664352,44094.2,6/20/1997 0:00,,,664352,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Peace River AB,1997,1,4/19/1997 0:00,0,0,4000,47368494,3143926.6,4/23/1997 0:00,18664180,8343702,20360612,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Lesser Slave Lake area AB,1996,0,6/17/1996 0:00,0,0,922,18159797,1225633.1,6/21/1996 0:00,5693853,5466769,6999175,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Sunny Valley AB,1996,1,1/1/1996 0:00,0,0,0,100307,6769.9,1/1/1996 0:00,,,100307,,,,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Southern Alberta,1995,0,6/6/1995 0:00,0,0,0,154623306,10590637.4,6/9/1995 0:00,34061897,9324782,12672842,76670115,,21893670,,0,0
Disaster,Natural,Meteorological - Hydrological,Flood,Poplar Bay AB,1995,3,1/1/1995 0:00,0,0,0,35830,2454.1,1/1/1995 0:00,,,35830,,,,,0,0
