Year,Mean Yearly Summer Flow (m3/s),Mass Balance (m),Mean Precip,Mean Yearly Snowfall (mm),Range (m3/s),Peak (m3/s),Min (m3/s),Mean Summer Temperature (C),Average Summer Temperature Extreme (C)
1967,337,10,32.08333333,17.62857143,1934.916667,1000,34.5,10.95,26.85
1968,274.7166667,350,45.46666667,22.05714286,1922.533333,597,36.8,10.46666667,26.96666667
1969,378,-400,57.71666667,15.61428571,1911.283333,1740,50.1,11.51666667,28.61666667
1970,284.6666667,-1700,50.11666667,17.74285714,1919.883333,1520,36,11.93333333,27.68333333
1971,346,-411,44.53333333,24.9,1926.466667,1180,38.2,11.7,27.13333333
1972,379.3333333,-250,70.91666667,22.41428571,1901.083333,2970,36.8,10.61666667,26.28333333
1973,268,434,77.26666667,22.97142857,1895.733333,589,68.8,11.33333333,27.31666667
1974,333.3333333,238,56.6,23.3,1917.4,1060,72.2,10.3,25.53333333
1975,173.1666667,-570,60.51666667,24.51428571,1914.483333,419,47.3,10.26666667,24.53333333
1976,205.8333333,638,60.16666667,16.71428571,1915.833333,430,56.6,12.18333333,27.03333333
1977,252.1666667,-203,63.08333333,14.07142857,1913.916667,920,19.8,11.11666667,26.95
1978,311.1666667,-1060,72.9,8.957142857,1905.1,949,94.3,11.7,28.33333333
1979,189.1666667,-810,56.66666667,12.88571429,1922.333333,385,37,11.06666667,26.61666667
1980,364.6666667,-576,83.08333333,15.77142857,1896.916667,1740,44.3,11.8,27.23333333
1981,331,-1127,50.06666667,19.57142857,1930.933333,1160,71.7,12.28333333,28.46666667
1982,304.1666667,-565,58.8,7.357142857,1923.2,1920,50,10.73333333,26.81666667
1983,223.3333333,-389,55.41666667,24.5,1927.583333,493,85.9,11.68333333,27.8
1984,175.5,-580,53.95,12.42857143,1930.05,373,70,11.68333333,28.75
1985,201.5,-812,51.95,17.02857143,1933.05,661,53.2,11.41666667,26.1
1986,382.5,-472,67.03333333,14.02857143,1918.966667,3990,75.7,11.61666667,27.28333333
1987,198,-621,70.45,11.74285714,1916.55,378,85.8,12.48333333,28.21666667
1988,178.1666667,-992,77.15,7.1,1910.85,451,62.5,12.58333333,28.86666667
1989,304.3333333,-599,63.16666667,8.685714286,1925.833333,853,62.6,11.98333333,26.8
1990,453.3333333,-734,66.03333333,16.12857143,1923.966667,2340,55.6,12.5,28.1
1991,352.8333333,-395,60.38333333,19.5,1930.616667,950,88.2,12.75,26.51666667
1992,200.5,-266,42,23.51428571,1950,415,77.2,11.23333333,28.4
1993,237.3333333,-1198,52.36666667,17.94285714,1940.633333,468,38.5,11.55,26.15
1994,218.6666667,-1268,74.75,16.6,1919.25,558,67.9,12.7,28.25
1995,312,-280,51,20.28571429,1944,1010,61,11.41666667,26.08333333
1996,252.8333333,129,85.66666667,14.94285714,1910.333333,651,43.1,11.18333333,25.55
1997,236.3333333,-818,71.85,25.41428571,1925.15,573,77.9,12.28333333,27.31666667
1998,291.3333333,-2230,64.68333333,11.57142857,1933.316667,1360,74.8,13.41666667,28.65
1999,347.3333333,-320,55.56666667,16.14285714,1943.433333,1500,65.4,11.16666667,27.38333333
2000,220.6666667,810,62.25,13.62857143,1937.75,778,63.7,10.93333333,25.73333333
2001,176.1666667,-920,56,12.91428571,1945,846,43,11.76666667,28.95
2002,190,-500,29.65,9.114285714,1972.35,360,70.5,10.26666667,27.11666667
2003,247.6666667,-1370,44.23333333,18.44285714,1958.766667,774,72.8,11.4,29.66666667
2004,199.1666667,-550,57.53333333,23.34285714,1946.466667,516,65.6,10.73333333,27.15
2005,362.5,-810,53.26666667,19.8,1951.733333,2270,71.2,11.2,25.88333333
2006,193.3333333,-1880,53.73333333,12.47142857,1952.266667,678,83.7,12.98333333,29.66666667
2007,299.6666667,-1440,54.55,20.64285714,1952.45,1430,88.3,11.36666667,26.61666667
